Dhi,Dni,Ebh,Ghi,rain,tem,hum,,,,,,
459,54,52,510,0,29.5,79,,,,,,
330,12,11,341,0,29.2,78,,,,,,
314,143,115,430,0,29.1,79,,,,,,
281,53,35,316,0,27.7,88,,,,,,
181,34,16,196,0,27.3,88,,,,,,
43,1,0,43,0,26.7,92,,,,,,
19,19,3,22,0.1,26.4,96,,,,,,
0,0,0,0,1.4,26,98,,,,,,
0,0,0,0,1.4,26.2,97,,,,,,
0,0,0,0,0.2,26,97,,,,,,
0,0,0,0,0,25.4,99,,,,,,
0,0,0,0,0.1,24.8,99,,,,,,
0,0,0,0,0,24.8,99,,,,,,
